EQUIPMENT_ID,EQUIPMENT_NAME,REINFORCE_LEVEL,EQUIPMENT_GRADE,EQUIPMENT_TYPE,BASE_STAT,BASE_STAT_VALUE,EQ_EXPLAIN,EQ_IMAGE_FILE_NAME,REINFORCE_FEE
Dweapon,나무 빗자루,0,1,1,1,10,전통의 멋과 손맛이 살아있는 클래식 청소 도구,Dweapon,5000
Dweapon1,+1 나무 빗자루,1,1,1,1,12,전통의 멋과 손맛이 살아있는 클래식 청소 도구,Dweapon,6000
Dweapon2,+2 나무 빗자루,2,1,1,1,14,전통의 멋과 손맛이 살아있는 클래식 청소 도구,Dweapon,7000
Dweapon3,+3 나무 빗자루,3,1,1,1,16,전통의 멋과 손맛이 살아있는 클래식 청소 도구,Dweapon,8000
Dweapon4,+4 나무 빗자루,4,1,1,1,18,전통의 멋과 손맛이 살아있는 클래식 청소 도구,Dweapon,9000
Dweapon5,+5 나무 빗자루,5,1,1,1,20,전통의 멋과 손맛이 살아있는 클래식 청소 도구,Dweapon,0
Dshirts,얼룩 묻은 청소복,0,1,2,2,100,오래된 얼룩 속에 베테랑의 흔적이 묻어난 청소복,Dshirts,5000
Dshirts1,+1 얼룩 묻은 청소복,1,1,2,2,120,오래된 얼룩 속에 베테랑의 흔적이 묻어난 청소복,Dshirts,6000
Dshirts2,+2 얼룩 묻은 청소복,2,1,2,2,140,오래된 얼룩 속에 베테랑의 흔적이 묻어난 청소복,Dshirts,7000
Dshirts3,+3 얼룩 묻은 청소복,3,1,2,2,160,오래된 얼룩 속에 베테랑의 흔적이 묻어난 청소복,Dshirts,8000
Dshirts4,+4 얼룩 묻은 청소복,4,1,2,2,180,오래된 얼룩 속에 베테랑의 흔적이 묻어난 청소복,Dshirts,9000
Dshirts5,+5 얼룩 묻은 청소복,5,1,2,2,200,오래된 얼룩 속에 베테랑의 흔적이 묻어난 청소복,Dshirts,0
Dpants,해진 청소 바지,0,1,3,3,5,군데군데 헤졌지만 활동성은 끝내주는 바지,Dpants,5000
Dpants1,+1 해진 청소 바지,1,1,3,3,6,군데군데 헤졌지만 활동성은 끝내주는 바지,Dpants,6000
Dpants2,+2 해진 청소 바지,2,1,3,3,7,군데군데 헤졌지만 활동성은 끝내주는 바지,Dpants,7000
Dpants3,+3 해진 청소 바지,3,1,3,3,8,군데군데 헤졌지만 활동성은 끝내주는 바지,Dpants,8000
Dpants4,+4 해진 청소 바지,4,1,3,3,9,군데군데 헤졌지만 활동성은 끝내주는 바지,Dpants,9000
Dpants5,+5 해진 청소 바지,5,1,3,3,10,군데군데 헤졌지만 활동성은 끝내주는 바지,Dpants,0
Dshoes,닳은 고무 슬리퍼,0,1,4,4,5,닳아도 여전히 든든한 청소 현장의 동반자,Dshoes,5000
Dshoes1,+1 닳은 고무 슬리퍼,1,1,4,4,6,닳아도 여전히 든든한 청소 현장의 동반자,Dshoes,6000
Dshoes2,+2 닳은 고무 슬리퍼,2,1,4,4,7,닳아도 여전히 든든한 청소 현장의 동반자,Dshoes,7000
Dshoes3,+3 닳은 고무 슬리퍼,3,1,4,4,8,닳아도 여전히 든든한 청소 현장의 동반자,Dshoes,8000
Dshoes4,+4 닳은 고무 슬리퍼,4,1,4,4,9,닳아도 여전히 든든한 청소 현장의 동반자,Dshoes,9000
Dshoes5,+5 닳은 고무 슬리퍼,5,1,4,4,10,닳아도 여전히 든든한 청소 현장의 동반자,Dshoes,0
Cweapon,플라스틱 빗자루,0,2,1,1,20,가볍고 튼튼해서 어디서든 척척 쓸 수 있는 실속형 청소도구,Cweapon,10000
Cweapon1,+1 플라스틱 빗자루,1,2,1,1,26,가볍고 튼튼해서 어디서든 척척 쓸 수 있는 실속형 청소도구,Cweapon,12000
Cweapon2,+2 플라스틱 빗자루,2,2,1,1,32,가볍고 튼튼해서 어디서든 척척 쓸 수 있는 실속형 청소도구,Cweapon,14000
Cweapon3,+3 플라스틱 빗자루,3,2,1,1,38,가볍고 튼튼해서 어디서든 척척 쓸 수 있는 실속형 청소도구,Cweapon,16000
Cweapon4,+4 플라스틱 빗자루,4,2,1,1,44,가볍고 튼튼해서 어디서든 척척 쓸 수 있는 실속형 청소도구,Cweapon,18000
Cweapon5,+5 플라스틱 빗자루,5,2,1,1,50,가볍고 튼튼해서 어디서든 척척 쓸 수 있는 실속형 청소도구,Cweapon,0
Cshirts,방수 청소복,0,2,2,2,200,물세례에도 끄떡없는 청소 전장의 필수 아이템,Cshirts,10000
Cshirts1,+1 방수 청소복,1,2,2,2,260,물세례에도 끄떡없는 청소 전장의 필수 아이템,Cshirts,12000
Cshirts2,+2 방수 청소복,2,2,2,2,320,물세례에도 끄떡없는 청소 전장의 필수 아이템,Cshirts,14000
Cshirts3,+3 방수 청소복,3,2,2,2,380,물세례에도 끄떡없는 청소 전장의 필수 아이템,Cshirts,16000
Cshirts4,+4 방수 청소복,4,2,2,2,440,물세례에도 끄떡없는 청소 전장의 필수 아이템,Cshirts,18000
Cshirts5,+5 방수 청소복,5,2,2,2,500,물세례에도 끄떡없는 청소 전장의 필수 아이템,Cshirts,0
Cpants,고무 작업 바지,0,2,3,3,10,질긴 고무 재질로 만들어져 막 굴러도 버티는 청소 전용 바지,Cpants,10000
Cpants1,+1 고무 작업 바지,1,2,3,3,13,질긴 고무 재질로 만들어져 막 굴러도 버티는 청소 전용 바지,Cpants,12000
Cpants2,+2 고무 작업 바지,2,2,3,3,16,질긴 고무 재질로 만들어져 막 굴러도 버티는 청소 전용 바지,Cpants,14000
Cpants3,+3 고무 작업 바지,3,2,3,3,19,질긴 고무 재질로 만들어져 막 굴러도 버티는 청소 전용 바지,Cpants,16000
Cpants4,+4 고무 작업 바지,4,2,3,3,22,질긴 고무 재질로 만들어져 막 굴러도 버티는 청소 전용 바지,Cpants,18000
Cpants5,+5 고무 작업 바지,5,2,3,3,25,질긴 고무 재질로 만들어져 막 굴러도 버티는 청소 전용 바지,Cpants,0
Cshoes,미끄럼 방지 장화,0,2,4,4,10,미끄러운 바닥에서도 안정감을 주는 든든한 장화,Cshoes,10000
Cshoes1,+1 미끄럼 방지 장화,1,2,4,4,13,미끄러운 바닥에서도 안정감을 주는 든든한 장화,Cshoes,12000
Cshoes2,+2 미끄럼 방지 장화,2,2,4,4,16,미끄러운 바닥에서도 안정감을 주는 든든한 장화,Cshoes,14000
Cshoes3,+3 미끄럼 방지 장화,3,2,4,4,19,미끄러운 바닥에서도 안정감을 주는 든든한 장화,Cshoes,16000
Cshoes4,+4 미끄럼 방지 장화,4,2,4,4,22,미끄러운 바닥에서도 안정감을 주는 든든한 장화,Cshoes,18000
Cshoes5,+5 미끄럼 방지 장화,5,2,4,4,25,미끄러운 바닥에서도 안정감을 주는 든든한 장화,Cshoes,0
Bweapon,강철 빗자루,0,3,1,1,30,무엇이든 쓸어버리는 파워풀 청소 무기,Bweapon,20000
Bweapon1,+1 강철 빗자루,1,3,1,1,42,무엇이든 쓸어버리는 파워풀 청소 무기,Bweapon,23000
Bweapon2,+2 강철 빗자루,2,3,1,1,54,무엇이든 쓸어버리는 파워풀 청소 무기,Bweapon,26000
Bweapon3,+3 강철 빗자루,3,3,1,1,66,무엇이든 쓸어버리는 파워풀 청소 무기,Bweapon,29000
Bweapon4,+4 강철 빗자루,4,3,1,1,78,무엇이든 쓸어버리는 파워풀 청소 무기,Bweapon,32000
Bweapon5,+5 강철 빗자루,5,3,1,1,90,무엇이든 쓸어버리는 파워풀 청소 무기,Bweapon,0
Bshirts,먼지 차단 청소복,0,3,2,2,300,작은 먼지 한 톨도 통과시키지 않는 청소인의 완벽 방어구,Bshirts,20000
Bshirts1,+1 먼지 차단 청소복,1,3,2,2,420,작은 먼지 한 톨도 통과시키지 않는 청소인의 완벽 방어구,Bshirts,23000
Bshirts2,+2 먼지 차단 청소복,2,3,2,2,540,작은 먼지 한 톨도 통과시키지 않는 청소인의 완벽 방어구,Bshirts,26000
Bshirts3,+3 먼지 차단 청소복,3,3,2,2,660,작은 먼지 한 톨도 통과시키지 않는 청소인의 완벽 방어구,Bshirts,29000
Bshirts4,+4 먼지 차단 청소복,4,3,2,2,780,작은 먼지 한 톨도 통과시키지 않는 청소인의 완벽 방어구,Bshirts,32000
Bshirts5,+5 먼지 차단 청소복,5,3,2,2,900,작은 먼지 한 톨도 통과시키지 않는 청소인의 완벽 방어구,Bshirts,0
Bpants,강화 청소 바지,0,3,3,3,20,튼튼함을 더해 어떤 오염에도 쉽게 해지지 않는 바지,Bpants,20000
Bpants1,+1 강화 청소 바지,1,3,3,3,28,튼튼함을 더해 어떤 오염에도 쉽게 해지지 않는 바지,Bpants,23000
Bpants2,+2 강화 청소 바지,2,3,3,3,36,튼튼함을 더해 어떤 오염에도 쉽게 해지지 않는 바지,Bpants,26000
Bpants3,+3 강화 청소 바지,3,3,3,3,44,튼튼함을 더해 어떤 오염에도 쉽게 해지지 않는 바지,Bpants,29000
Bpants4,+4 강화 청소 바지,4,3,3,3,52,튼튼함을 더해 어떤 오염에도 쉽게 해지지 않는 바지,Bpants,32000
Bpants5,+5 강화 청소 바지,5,3,3,3,60,튼튼함을 더해 어떤 오염에도 쉽게 해지지 않는 바지,Bpants,0
Bshoes,쿠션 청소화,0,3,4,4,20,폭신폭신한 착화감으로 오래 서 있어도 발이 편한 신발,Bshoes,20000
Bshoes1,+1 쿠션 청소화,1,3,4,4,28,폭신폭신한 착화감으로 오래 서 있어도 발이 편한 신발,Bshoes,23000
Bshoes2,+2 쿠션 청소화,2,3,4,4,36,폭신폭신한 착화감으로 오래 서 있어도 발이 편한 신발,Bshoes,26000
Bshoes3,+3 쿠션 청소화,3,3,4,4,44,폭신폭신한 착화감으로 오래 서 있어도 발이 편한 신발,Bshoes,29000
Bshoes4,+4 쿠션 청소화,4,3,4,4,52,폭신폭신한 착화감으로 오래 서 있어도 발이 편한 신발,Bshoes,32000
Bshoes5,+5 쿠션 청소화,5,3,4,4,60,폭신폭신한 착화감으로 오래 서 있어도 발이 편한 신발,Bshoes,0
Aweapon,은 빗자루,0,4,1,1,40,반짝이는 광택과 함께 정화의 힘이 깃든 청소 무기,Aweapon,35000
Aweapon1,+1 은 빗자루,1,4,1,1,60,반짝이는 광택과 함께 정화의 힘이 깃든 청소 무기,Aweapon,39000
Aweapon2,+2 은 빗자루,2,4,1,1,80,반짝이는 광택과 함께 정화의 힘이 깃든 청소 무기,Aweapon,43000
Aweapon3,+3 은 빗자루,3,4,1,1,100,반짝이는 광택과 함께 정화의 힘이 깃든 청소 무기,Aweapon,47000
Aweapon4,+4 은 빗자루,4,4,1,1,120,반짝이는 광택과 함께 정화의 힘이 깃든 청소 무기,Aweapon,51000
Aweapon5,+5 은 빗자루,5,4,1,1,140,반짝이는 광택과 함께 정화의 힘이 깃든 청소 무기,Aweapon,0
Ashirts,향균 청소복,0,4,2,2,400,세균 따윈 근처에도 못 오게 막아주는 청소복,Ashirts,35000
Ashirts1,+1 향균 청소복,1,4,2,2,600,세균 따윈 근처에도 못 오게 막아주는 청소복,Ashirts,39000
Ashirts2,+2 향균 청소복,2,4,2,2,800,세균 따윈 근처에도 못 오게 막아주는 청소복,Ashirts,43000
Ashirts3,+3 향균 청소복,3,4,2,2,1000,세균 따윈 근처에도 못 오게 막아주는 청소복,Ashirts,47000
Ashirts4,+4 향균 청소복,4,4,2,2,1200,세균 따윈 근처에도 못 오게 막아주는 청소복,Ashirts,51000
Ashirts5,+5 향균 청소복,5,4,2,2,1400,세균 따윈 근처에도 못 오게 막아주는 청소복,Ashirts,0
Apants,고강도 방수 바지,0,4,3,3,30,폭우 속 청소에도 끄떡없는 최강 방수 바지,Apants,35000
Apants1,+1 고강도 방수 바지,1,4,3,3,45,폭우 속 청소에도 끄떡없는 최강 방수 바지,Apants,39000
Apants2,+2 고강도 방수 바지,2,4,3,3,60,폭우 속 청소에도 끄떡없는 최강 방수 바지,Apants,43000
Apants3,+3 고강도 방수 바지,3,4,3,3,75,폭우 속 청소에도 끄떡없는 최강 방수 바지,Apants,47000
Apants4,+4 고강도 방수 바지,4,4,3,3,90,폭우 속 청소에도 끄떡없는 최강 방수 바지,Apants,51000
Apants5,+5 고강도 방수 바지,5,4,3,3,105,폭우 속 청소에도 끄떡없는 최강 방수 바지,Apants,0
