SYN_INGRED,SYN_RESULT,INGRED_ITEM,SPENDGOLD,SUC_PER,FAIL_PER,FAIL_REWARD
Dweapon,Cweapon,2,20000,80,20,10000
Dshirts,Cshirts,2,20000,80,20,10000
Dpants,Cpants,2,20000,80,20,10000
Dshoes,Cshoes,2,20000,80,20,10000
Cweapon,Bweapon,2,40000,60,40,20000
Cshirts,Bshirts,2,40000,60,40,20000
Cpants,Bpants,2,40000,60,40,20000
Cshoes,Bshoes,2,40000,60,40,20000
Bweapon,Aweapon,2,60000,40,60,30000
Bshirts,Ashirts,2,60000,40,60,30000
Bpants,Apants,2,60000,40,60,30000
Bshoes,Ashoes,2,60000,40,60,30000
Aweapon,Sweapon,2,80000,20,80,40000
Ashirts,Sshirts,2,80000,20,80,40000
Apants,Spants,2,80000,20,80,40000
Ashoes,Sshoes,2,80000,20,80,40000
